[11-Dec-2021 15:36:11 UTC] PHP Fatal error:  Cannot use [] for reading in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 34
[12-Dec-2021 06:37:46 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 06:38:50 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 12:47:12 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 12:47:12 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 12:47:12 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 12:47:12 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 12:47:12 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 12:47:12 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 12:47:13 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 12:47:13 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 12:47:13 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 56
[12-Dec-2021 13:58:52 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 13:58:52 UTC] PHP Notice:  Undefined variable: tutors_data in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 81
[12-Dec-2021 13:58:55 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 13:58:55 UTC] PHP Notice:  Undefined variable: tutors_data in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 81
[12-Dec-2021 13:59:02 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 13:59:02 UTC] PHP Notice:  Undefined variable: tutors_data in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 81
[12-Dec-2021 13:59:48 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 14:05:18 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 14:05:18 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 14:05:18 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 14:05:18 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 14:05:18 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 14:05:25 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 14:05:25 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 14:05:25 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 14:05:25 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 14:05:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 14:05:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 14:05:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 14:05:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 14:05:42 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 14:05:42 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 14:05:42 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 14:05:42 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
[12-Dec-2021 14:05:52 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 14:05:52 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 14:05:52 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 14:05:52 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 40
